product_name_fr;code;ingredients_text_fr;nutriscore_grade;stores;packaging;brands;labels;quantity;ecoscore_score;ecoscore_grade
Nutella;3017620420047;Sucre, huile de palme, _noisettes_ 13%, _lait_ écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines [_soja_], vanilline. sans gluten
Oreo Original;7622300744663;Farine de BLÉ, sucre, huile de palme, huile de colza, cacao maigre en poudre 4,3 %, amidon de BLÉ, sirop de glucose-fructose, poudres à lever (carbonates d'ammonium, carbonates de potassium, carbonates de sodium), sel, émulsifiants (lécithine de SOJA), correcteur d'acidité (hydroxyde de sodium), arôme,
Le Bon PARIS à l'étouffée SANS NITRITE 4 tranches;7613035989535;Jambon frais de porc, Bouillon (eau, couennes de porc, oignons, os de porc, carottes, sel, persil, ail, clou de girofle, poivre, laurier), Sel, Sucie, Arôme naturel (présence naturelle de polyphénols), Antioxydant: acide ascorbique,
Pur beurre de cacahuète;3760020507350;purée de cacahuètes issues de l'agriculture biologique.
Pomegranate Green Tea;0613008730758;eau, sucre, jus de pomme à base de concentré (3,4%), jus de grenade à base de concentré (1,6%), miel, arôme naturel, jus de carotte à base de concentré, extrait de thé vert (0,05%), antioxydant : acide ascorbique, acidifiant : acide citrique.
Pur jus d'orange sans pulpe;3502110009449;Jus d'orange,
Muesli sans sucre ajouté* Bio;3229820129488;"Flocons d'avoine* 44%, flocons d'épeautre* (blé) 15%, raisins* 10%, (raisins*, huile de tounesol*), pétales de maïs*, figues* 9% (farine de riz*), graines* 6% (graines de tournesol*, graines de lin*, graines de courge*), abricots* 4% (farine de riz*), pétales d'épeautre* complet (blé) 3%.Peut contenir des traces de fruits à coque, lait, graines de sésame, soja et sulfites.
Sushi box kamaki;4056489139843;eau, 19% fèves de soja, farine de blé, sel Préparation au gingembre - Ingrédients: 73% gingembre, sucre, sirop de glucose, fructose, eau, sel, acidifiants acide citrique, acide acétique. **Préparation au raifort - Ingrédients: eau, 17% raifort en poudre, farine de moutarde, 0,5% wasabi en po d complexes culvriques de chlorophylles et de chlorophyllines, curcumine. Traces éventuelles da crustace Ne pas réchauffer. Ne pas congeler. Prêt à consommer. Non ouvert, à conserver entre 0°C et +2°C
Prince;7622210449283;céréales 50,7% (farine de blé 35%, farine de blé complète 15,7%), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5%, sirop de glucose, amidon de blé, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphpsphate disodique), émulsifiant (lécithine de soja, lécithine de tournesol), sel, lait écrémé en poudre, lactose et protéines de lait, arômes.
Véritable Petit Écolier Chocolat au Lait;7622210421968;"small butter 52 % : wheat flour 68,1 per cent, sugar, pastry butter to 14,7 %, skimmed milk powder, baking powder (carbonate acid, ammonium carbonate acid, sodium diphosphate disodium salt), salt, corrector of acidity (citric acid), milk chocolate 48 % : sugar, cocoa butter, cocoa paste, skimmed milk powder, glucose syrup, pastry butter, emulsifier (soya lecithin), vanilla aroma"
Chocolat noir aux noisettes entières;7622210995087;Sucre, pâte de cacao, _noisettes_ (24 %), beurre de cacao, _beurre_ concentré, émulsifiant (lécithine de _soja_), arôme, _lait_ écrémé en poudre. Cacao : 46% minimum
Coca-Cola Zero;5449000131805;carbonated water, dye: e150d, acidifiers: phosphoric acid, sodium citrate, sweeteners: aspartame, acesulfame-k, natural aromas of which caffeine, contains a source of phenylalanine.
Bonbons tic tac fresh+ goût menthe polaire sans sucres;8000500321089;"Edulcorants (xylitol, sorbitol, glycosides de stéviol), épaississant : gomme arabique ; maltodextrine, menthol, arômes, concentré de spiruline"
